f(Hz),Y
1.18733e+12, 0.320436
1.192e+12, 0.220757
1.19667e+12, 0.125269
1.20133e+12, 0.0484017
1.206e+12, 0.00560926
1.21067e+12, 0.00596131
1.21533e+12, 0.0490012
1.22e+12, 0.122979
1.22467e+12, 0.214138
1.22933e+12, 0.308048
1.234e+12, 0.395657
1.23867e+12, 0.475262
1.24333e+12, 0.542083
1.248e+12, 0.59909
1.25267e+12, 0.647713
1.25733e+12, 0.686093
1.262e+12, 0.720114
1.26667e+12, 0.747505
1.27133e+12, 0.769526
1.276e+12, 0.790059
1.28067e+12, 0.804888
1.28533e+12, 0.81853
1.29e+12, 0.830491
1.29467e+12, 0.838363
1.29933e+12, 0.84739
1.304e+12, 0.853301
1.30867e+12, 0.85775
1.31333e+12, 0.863385
1.318e+12, 0.865052
1.32267e+12, 0.868029
1.32733e+12, 0.870228
1.332e+12, 0.869383
1.33667e+12, 0.871433
1.34133e+12, 0.870051
1.346e+12, 0.868612
1.35067e+12, 0.869063
1.35533e+12, 0.864837
1.36e+12, 0.864095
1.36467e+12, 0.86152
1.36933e+12, 0.856406
1.374e+12, 0.855805
1.37867e+12, 0.849639
1.38333e+12, 0.845984
1.388e+12, 0.843165
1.39267e+12, 0.835026
1.39733e+12, 0.833246
1.402e+12, 0.826397
1.40667e+12, 0.819836
1.41133e+12, 0.817701
1.416e+12, 0.80804
1.42067e+12, 0.805187
1.42533e+12, 0.799866
1.43e+12, 0.791656
1.43467e+12, 0.791209
1.43933e+12, 0.782881
1.444e+12, 0.779872
1.44867e+12, 0.778346
1.45333e+12, 0.770617
1.458e+12, 0.772357
1.46267e+12, 0.767353
1.46733e+12, 0.763874
1.472e+12, 0.765843
1.47667e+12, 0.756499
1.48133e+12, 0.75505
1.486e+12, 0.753548
1.49067e+12, 0.747992
1.49533e+12, 0.75002
1.5e+12, 0.742959
