f(THz),Y
1.36467, 0.0376975
1.36933, 0.0377712
1.374, 0.0377724
1.37867, 0.0385222
1.38333, 0.0388377
1.388, 0.0397229
1.39267, 0.0407807
1.39733, 0.0415312
1.402, 0.0431694
1.40667, 0.0442443
1.41133, 0.045782
1.416, 0.0476552
1.42067, 0.0489248
1.42533, 0.0512555
1.43, 0.0529425
1.43467, 0.0548748
1.43933, 0.0574805
1.444, 0.0591161
1.44867, 0.0619182
1.45333, 0.0642001
1.458, 0.0663084
1.46267, 0.0695632
1.46733, 0.0714338
1.472, 0.074643
1.47667, 0.0779252
1.48133, 0.0791752
1.486, 0.0817164
1.49067, 0.0836617
1.49533, 0.0859575
1.5, 0.089123
