f(THz),Y
0.1, 0.643982
0.104667, 0.681265
0.109333, 0.721384
0.114, 0.765615
0.118667, 0.796903
0.123333, 0.837881
0.128, 0.869671
0.132667, 0.899202
0.137333, 0.932687
0.142, 0.954244
0.146667, 0.981486
0.151333, 1.00232
0.156, 1.01823
0.160667, 1.038
0.165333, 1.04708
0.17, 1.05935
0.174667, 1.06738
0.179333, 1.0695
0.184, 1.07536
0.188667, 1.07197
0.193333, 1.07043
0.198, 1.06626
0.202667, 1.05615
0.207333, 1.04984
0.212, 1.03624
0.216667, 1.02403
0.221333, 1.01097
0.226, 0.993278
0.230667, 0.979679
0.235333, 0.96117
0.24, 0.94411
0.244667, 0.927857
0.249333, 0.908381
0.254, 0.893242
0.258667, 0.875421
0.263333, 0.859199
0.268, 0.845296
0.272667, 0.829349
0.277333, 0.817668
0.282, 0.80534
0.286667, 0.794312
0.291333, 0.786587
0.296, 0.777678
0.300667, 0.772089
0.305333, 0.767336
0.31, 0.764017
0.314667, 0.764138
0.319333, 0.763506
0.324, 0.766068
0.328667, 0.769834
0.333333, 0.773725
0.338, 0.78108
0.342667, 0.787539
0.347333, 0.796122
0.352, 0.806142
0.356667, 0.815108
0.361333, 0.827103
0.366, 0.837704
0.370667, 0.849139
0.375333, 0.861869
0.38, 0.872279
0.384667, 0.885085
0.389333, 0.895893
0.394, 0.906285
0.398667, 0.917718
0.403333, 0.925721
0.408, 0.935543
0.412667, 0.942929
0.417333, 0.948957
0.422, 0.95594
0.426667, 0.95877
0.431333, 0.963081
0.436, 0.964926
0.440667, 0.964837
0.445333, 0.965893
0.45, 0.962553
0.454667, 0.960674
0.459333, 0.956725
0.464, 0.950585
0.468667, 0.946253
0.473333, 0.937691
0.478, 0.93073
0.482667, 0.922635
0.487333, 0.912283
0.492, 0.904593
0.496667, 0.893148
0.501333, 0.883662
0.506, 0.874182
0.510667, 0.862207
0.515333, 0.854155
0.52, 0.842633
0.524667, 0.833083
0.529333, 0.824943
0.534, 0.813358
0.538667, 0.80692
0.543333, 0.796544
0.548, 0.787162
0.552667, 0.780302
0.557333, 0.766108
0.562, 0.75674
0.566667, 0.738697
0.571333, 0.712675
0.576, 0.679867
0.580667, 0.608777
0.585333, 0.50109
0.59, 0.30702
0.594667, 0.0799554
0.599333, 0.0695126
0.604, 0.267553
0.608667, 0.455165
0.613333, 0.585801
0.618, 0.671516
0.622667, 0.721672
0.627333, 0.764327
0.632, 0.791439
0.636667, 0.813727
0.641333, 0.834695
0.646, 0.847626
0.650667, 0.863249
0.655333, 0.874199
0.66, 0.883516
0.664667, 0.893954
0.669333, 0.899436
0.674, 0.906858
0.678667, 0.91164
0.683333, 0.914615
0.688, 0.918754
0.692667, 0.918998
0.697333, 0.920356
0.702, 0.920058
0.706667, 0.917855
0.711333, 0.916853
0.716, 0.912765
0.720667, 0.909418
0.725333, 0.905252
0.73, 0.899353
0.734667, 0.89489
0.739333, 0.888205
0.744, 0.882252
0.748667, 0.876309
0.753333, 0.869044
0.758, 0.863552
0.762667, 0.85669
0.767333, 0.850704
0.772, 0.845455
0.776667, 0.839338
0.781333, 0.835273
0.786, 0.83055
0.790667, 0.826809
0.795333, 0.824323
0.8, 0.821274
0.804667, 0.820344
0.809333, 0.819228
0.814, 0.818984
0.818667, 0.820202
0.823333, 0.820932
0.828, 0.823561
0.832667, 0.826167
0.837333, 0.829265
0.842, 0.833726
0.846667, 0.837513
0.851333, 0.842689
0.856, 0.847756
0.860667, 0.852737
0.865333, 0.858779
0.87, 0.863755
0.874667, 0.869473
0.879333, 0.874903
0.884, 0.879475
0.888667, 0.884873
0.893333, 0.888517
0.898, 0.891447
0.902667, 0.894586
0.907333, 0.896918
0.912, 0.899247
0.916667, 0.900224
0.921333, 0.900716
0.926, 0.900758
0.930667, 0.899309
0.935333, 0.897982
0.94, 0.895329
0.944667, 0.892033
0.949333, 0.888619
0.954, 0.883677
0.958667, 0.879108
0.963333, 0.873552
0.968, 0.867429
0.972667, 0.861713
0.977333, 0.85471
0.982, 0.848413
0.986667, 0.84159
0.991333, 0.834432
0.996, 0.828299
1.00067, 0.821249
1.00533, 0.815269
1.01, 0.809344
1.01467, 0.803251
1.01933, 0.7985
1.024, 0.793019
1.02867, 0.78861
1.03333, 0.784489
1.038, 0.780022
1.04267, 0.776807
1.04733, 0.772728
1.052, 0.769157
1.05667, 0.765565
1.06133, 0.760826
1.066, 0.756435
1.07067, 0.750253
1.07533, 0.742918
1.08, 0.734113
1.08467, 0.72195
1.08933, 0.707417
1.094, 0.688262
1.09867, 0.663661
1.10333, 0.633119
1.108, 0.593562
1.11267, 0.544721
1.11733, 0.484482
1.122, 0.411411
1.12667, 0.327566
1.13133, 0.235476
1.136, 0.144315
1.14067, 0.0674743
1.14533, 0.0194411
1.15, 0.0113579
1.15467, 0.043277
1.15933, 0.106251
1.164, 0.185454
1.16867, 0.268823
1.17333, 0.347791
1.178, 0.417141
1.18267, 0.477126
1.18733, 0.525598
1.192, 0.564745
1.19667, 0.598624
1.20133, 0.624542
1.206, 0.645607
1.21067, 0.662514
1.21533, 0.674534
1.22, 0.685314
1.22467, 0.692164
1.22933, 0.697665
1.234, 0.702219
