f(Hz),Y
1.094e+12, 0.134605
1.09867e+12, 0.155755
1.10333e+12, 0.181225
1.108e+12, 0.212132
1.11267e+12, 0.249897
1.11733e+12, 0.295164
1.122e+12, 0.34933
1.12667e+12, 0.412198
1.13133e+12, 0.481595
1.136e+12, 0.553197
1.14067e+12, 0.617662
1.14533e+12, 0.66394
1.15e+12, 0.682649
1.15467e+12, 0.669906
1.15933e+12, 0.630848
1.164e+12, 0.575382
1.16867e+12, 0.513259
1.17333e+12, 0.452308
1.178e+12, 0.396544
1.18267e+12, 0.347652
1.18733e+12, 0.305901
1.192e+12, 0.269477
1.19667e+12, 0.238632
1.20133e+12, 0.213523
1.206e+12, 0.191921
1.21067e+12, 0.173725
1.21533e+12, 0.158468
1.22e+12, 0.145046
1.22467e+12, 0.133858
1.22933e+12, 0.124062
1.234e+12, 0.115466
1.23867e+12, 0.108269
1.24333e+12, 0.101672
1.248e+12, 0.0960761
1.25267e+12, 0.0911926
1.25733e+12, 0.0866659
1.262e+12, 0.0829513
1.26667e+12, 0.0794628
1.27133e+12, 0.0763872
1.276e+12, 0.0738206
1.28067e+12, 0.0712788
1.28533e+12, 0.0692251
1.29e+12, 0.0673338
1.29467e+12, 0.065512
1.29933e+12, 0.0641096
1.304e+12, 0.0626215
1.30867e+12, 0.0613421
1.31333e+12, 0.0602582
1.318e+12, 0.0590048
1.32267e+12, 0.0580232
1.32733e+12, 0.0569345
1.332e+12, 0.0557254
1.33667e+12, 0.0547072
1.34133e+12, 0.0533916
1.346e+12, 0.0521705
1.35067e+12, 0.0510146
1.35533e+12, 0.0496184
1.36e+12, 0.048538
1.36467e+12, 0.0473569
1.36933e+12, 0.0462034
1.374e+12, 0.0454073
1.37867e+12, 0.0443975
1.38333e+12, 0.0437122
1.388e+12, 0.0431404
1.39267e+12, 0.0424103
1.39733e+12, 0.0421285
1.402e+12, 0.0416318
1.40667e+12, 0.0412658
1.41133e+12, 0.0412044
1.416e+12, 0.0408344
1.42067e+12, 0.040943
1.42533e+12, 0.0410258
1.43e+12, 0.0410767
1.43467e+12, 0.0417068
1.43933e+12, 0.0420579
1.444e+12, 0.0428622
1.44867e+12, 0.0439881
1.45333e+12, 0.0449142
1.458e+12, 0.0466463
1.46267e+12, 0.0483026
1.46733e+12, 0.0501775
1.472e+12, 0.053005
1.47667e+12, 0.0556328
1.48133e+12, 0.0581763
1.486e+12, 0.0606292
1.49067e+12, 0.0636824
1.49533e+12, 0.0676363
1.5e+12, 0.0711989
