f(THz),Y
0.1, 6.9785e-06
0.104667, 1.07272e-05
0.109333, 2.32201e-05
0.114, 4.59286e-08
0.118667, 2.17827e-05
0.123333, 1.2259e-05
0.128, 5.28946e-06
0.132667, 2.48039e-05
0.137333, 2.39804e-06
0.142, 1.93463e-05
0.146667, 1.86079e-05
0.151333, 5.87824e-06
0.156, 3.11791e-05
0.160667, 1.03364e-05
0.165333, 2.11211e-05
0.17, 3.10064e-05
0.174667, 1.00153e-05
0.179333, 3.66013e-05
0.184, 2.251e-05
0.188667, 2.21941e-05
0.193333, 4.15244e-05
0.198, 1.75196e-05
0.202667, 3.95676e-05
0.207333, 3.56509e-05
0.212, 2.62511e-05
0.216667, 5.22697e-05
0.221333, 3.04354e-05
0.226, 4.57211e-05
0.230667, 5.28333e-05
0.235333, 3.58806e-05
0.24, 6.52213e-05
0.244667, 4.93095e-05
0.249333, 5.53341e-05
0.254, 7.37825e-05
0.258667, 5.27989e-05
0.263333, 8.0842e-05
0.268, 7.43487e-05
0.272667, 7.17909e-05
0.277333, 9.98607e-05
0.282, 7.83953e-05
0.286667, 0.000103394
0.291333, 0.000109989
0.296, 0.000102753
0.300667, 0.000143496
0.305333, 0.000120688
0.31, 0.000131364
0.314667, 0.000152885
0.319333, 0.000131073
0.324, 0.000168417
0.328667, 0.000161749
0.333333, 0.000165202
0.338, 0.000201086
0.342667, 0.000179743
0.347333, 0.000216288
0.352, 0.000226039
0.356667, 0.000220766
0.361333, 0.000270339
0.366, 0.000254946
0.370667, 0.000287622
0.375333, 0.000318855
0.38, 0.000307584
0.384667, 0.000370081
0.389333, 0.00036929
0.394, 0.00039629
0.398667, 0.000454848
0.403333, 0.000443339
0.408, 0.000517487
0.412667, 0.000543539
0.417333, 0.000566036
0.422, 0.000659986
0.426667, 0.000661131
0.431333, 0.000748924
0.436, 0.000820822
0.440667, 0.000846038
0.445333, 0.00098793
0.45, 0.00102451
0.454667, 0.00113242
0.459333, 0.00128107
0.464, 0.00132913
0.468667, 0.00154351
0.473333, 0.00166307
0.478, 0.00181633
0.482667, 0.00210518
0.487333, 0.00223321
0.492, 0.00258115
0.496667, 0.00289314
0.501333, 0.00316844
0.506, 0.00374402
0.510667, 0.00411071
0.515333, 0.00476551
0.52, 0.00557487
0.524667, 0.00624744
0.529333, 0.00756885
0.534, 0.00875181
0.538667, 0.0103849
0.543333, 0.0128388
0.548, 0.0151676
0.552667, 0.0192771
0.557333, 0.024283
0.562, 0.0308738
0.566667, 0.0421793
0.571333, 0.0564508
0.576, 0.0816166
0.580667, 0.123652
0.585333, 0.190521
0.59, 0.318623
0.594667, 0.467548
0.599333, 0.495579
0.604, 0.382761
0.608667, 0.255566
0.613333, 0.174285
0.618, 0.12085
0.622667, 0.0882137
0.627333, 0.0683034
0.632, 0.0531768
0.636667, 0.0437077
0.641333, 0.0364507
0.646, 0.0306597
0.650667, 0.0268911
0.655333, 0.0233108
0.66, 0.0207481
0.664667, 0.018741
0.669333, 0.0167593
0.674, 0.0154887
0.678667, 0.0141716
0.683333, 0.0130821
0.688, 0.0123109
0.692667, 0.011401
0.697333, 0.0108139
0.702, 0.010229
0.706667, 0.00964673
0.711333, 0.00929464
0.716, 0.00882021
0.720667, 0.0084896
0.725333, 0.00821308
0.73, 0.00786571
0.734667, 0.00768637
0.739333, 0.00743395
0.744, 0.00722532
0.748667, 0.00710035
0.753333, 0.0068893
0.758, 0.00679118
0.762667, 0.0066691
0.767333, 0.00653259
0.772, 0.00648936
0.776667, 0.00637251
0.781333, 0.00631996
0.786, 0.00628405
0.790667, 0.00620191
0.795333, 0.00620595
0.8, 0.00616142
0.804667, 0.00613955
0.809333, 0.00616484
0.814, 0.00613371
0.818667, 0.00616985
0.823333, 0.00618962
0.828, 0.0061999
0.832667, 0.00627068
0.837333, 0.00629142
0.842, 0.00635781
