f(THz),Y
0.1,0.673852
0.107,0.715093
0.114,0.723387
0.121,0.757298
0.128,0.766711
0.135,0.786113
0.142,0.804022
0.149,0.807816
0.156,0.833388
0.163,0.82611
0.17,0.851692
0.177,0.840782
0.184,0.857981
0.191,0.850579
0.198,0.854058
0.205,0.853072
0.212,0.843128
0.219,0.847775
0.226,0.829841
0.233,0.835274
0.24,0.816612
0.247,0.8178
0.254,0.804113
0.261,0.798579
0.268,0.792152
0.275,0.781164
0.282,0.78067
0.289,0.768369
0.296,0.770343
0.303,0.760917
0.31,0.762125
0.317,0.759964
0.324,0.758922
0.331,0.763137
0.338,0.760745
0.345,0.768705
0.352,0.767374
0.359,0.775269
0.366,0.77728
0.373,0.782216
0.38,0.788315
0.387,0.789395
0.394,0.798199
0.401,0.796654
0.408,0.80498
0.415,0.802829
0.422,0.807225
0.429,0.806316
0.436,0.804606
0.443,0.805674
0.45,0.798285
0.457,0.799308
0.464,0.787623
0.471,0.785593
0.478,0.772586
0.485,0.76496
0.492,0.753726
0.499,0.739804
0.506,0.731047
0.513,0.711653
0.52,0.704127
0.527,0.682809
0.534,0.673593
0.541,0.655304
0.548,0.640887
0.555,0.626698
0.562,0.599341
0.569,0.580846
0.576,0.517319
0.583,0.434611
0.59,0.210737
0.597,0.0288169
0.604,0.197889
0.611,0.399473
0.618,0.494983
0.625,0.558788
0.632,0.583026
0.639,0.612024
0.646,0.624037
0.653,0.638954
0.66,0.648312
0.667,0.654575
0.674,0.661852
0.681,0.66243
0.688,0.667043
0.695,0.664202
0.702,0.663197
0.709,0.656983
0.716,0.649745
0.723,0.64047
0.73,0.628068
0.737,0.61668
0.744,0.600872
0.751,0.58633
0.758,0.568515
0.765,0.55163
0.772,0.533849
0.779,0.516564
0.786,0.501263
0.793,0.485494
0.8,0.472734
0.807,0.459896
0.814,0.450325
0.821,0.441728
0.828,0.436312
0.835,0.433559
0.842,0.432087
0.849,0.433245
0.856,0.434682
0.863,0.438369
0.87,0.441887
0.877,0.44758
0.884,0.453582
0.891,0.459064
0.898,0.463588
0.905,0.466484
0.912,0.468962
0.919,0.468638
0.926,0.468394
0.933,0.465685
0.94,0.460683
0.947,0.453275
0.954,0.442936
0.961,0.430765
0.968,0.41575
0.975,0.400858
0.982,0.383943
0.989,0.366129
0.996,0.347497
1.003,0.328469
1.01,0.31021
1.017,0.292244
1.024,0.277266
1.031,0.263322
1.038,0.251734
1.045,0.242016
1.052,0.234481
1.059,0.229223
1.066,0.225428
1.073,0.224463
1.08,0.223651
1.087,0.223055
1.094,0.220794
1.101,0.215701
1.108,0.205918
1.115,0.188915
1.122,0.163549
1.129,0.126887
1.136,0.0821535
1.143,0.038918
1.15,0.0131813
1.157,0.0158638
1.164,0.0430584
1.171,0.0811403
1.178,0.117917
1.185,0.14709
1.192,0.166597
1.199,0.178221
1.206,0.182096
1.213,0.180571
1.22,0.175014
1.227,0.165741
1.234,0.154379
1.241,0.141145
1.248,0.127893
1.255,0.114498
1.262,0.102679
1.269,0.0924168
1.276,0.0838611
1.283,0.0775567
1.29,0.073032
1.297,0.0709373
1.304,0.0702363
1.311,0.0712155
1.318,0.0726007
1.325,0.0732123
1.332,0.0733908
1.339,0.0742004
1.346,0.0771225
1.353,0.0807414
1.36,0.0850351
1.367,0.0891382
1.374,0.0925285
1.381,0.0953227
1.388,0.096629
1.395,0.0970766
1.402,0.0957537
1.409,0.0938482
1.416,0.0905973
1.423,0.0860145
1.43,0.0806962
1.437,0.0741048
1.444,0.0676023
1.451,0.0602993
1.458,0.0539182
1.465,0.047476
1.472,0.0415721
1.479,0.0362378
1.486,0.0315416
1.493,0.0281793
1.5,0.0249283
