f(THz),Y
1.36467, 0.0735267
1.36933, 0.071637
1.374, 0.0704226
1.37867, 0.0700235
1.38333, 0.0679271
1.388, 0.0676568
1.39267, 0.0664189
1.39733, 0.0646992
1.402, 0.064614
1.40667, 0.0624132
1.41133, 0.0614634
1.416, 0.0605815
1.42067, 0.0580422
1.42533, 0.0576542
1.43, 0.055584
1.43467, 0.053699
1.43933, 0.0532771
1.444, 0.0506427
1.44867, 0.0501161
1.45333, 0.0491424
1.458, 0.0471301
1.46267, 0.0476791
1.46733, 0.0459429
1.472, 0.0455506
1.47667, 0.0463162
1.48133, 0.0439956
1.486, 0.0442867
1.49067, 0.0435857
1.49533, 0.0424254
1.5, 0.0439677
